score_IT,score_CS,score_CE,score_MMA,total_correct,accuracy_score,average_speed,interest_score,performance_group,performance_encoded,Track,track_encoded
3,5,3,0,11,0.55,0.942554958206038,0.35297801671758483,Average,0,Computer Science,1
2,4,0,0,6,0.3,0.9657231334805878,0.19371074660776488,Low,2,Computer Science,1
3,1,5,0,9,0.45,0.8990269040302583,0.31038923838789667,Average,0,Computer Engineering,0
2,0,5,1,8,0.4,0.3622888350959195,0.4950844659616322,Average,0,Computer Engineering,0
3,0,3,4,10,0.5,0.7834495826741019,0.3866201669303592,Average,0,Multimedia Arts,3
3,1,2,1,7,0.35,0.4963323202927482,0.4114670718829007,Low,2,Information Technology,2
1,4,2,3,10,0.5,0.6913980914707907,0.42344076341168374,Average,0,Computer Science,1
3,0,0,4,7,0.35,0.4917422553615144,0.4133030978553942,Low,2,Multimedia Arts,3
3,1,3,3,10,0.5,0.9344336178164645,0.3262265528734142,Average,0,Computer Engineering,0
3,1,0,5,9,0.45,0.9735037438302394,0.28059850246790424,Average,0,Multimedia Arts,3
5,3,0,1,9,0.45,0.6186828353911764,0.4225268658435295,Average,0,Information Technology,2
3,3,0,1,7,0.35,0.3883844075806666,0.4546462369677333,Low,2,Information Technology,2
2,4,3,1,10,0.5,0.7240168904769964,0.41039324380920145,Average,0,Computer Science,1
5,2,0,1,8,0.4,0.5984757869251958,0.4006096852299217,Average,0,Information Technology,2
3,5,0,1,9,0.45,0.9528289563821788,0.2888684174471285,Average,0,Computer Science,1
2,5,3,1,11,0.55,0.7292426298179305,0.4383029480728278,Average,0,Computer Science,1
3,2,0,2,7,0.35,0.8831326636635128,0.25674693453459485,Low,2,Information Technology,2
3,2,1,0,6,0.3,0.33481541262908593,0.44607383494836567,Low,2,Information Technology,2
1,5,3,2,11,0.55,0.623889900422208,0.48044403983111683,Average,0,Computer Science,1
2,3,3,1,9,0.45,0.6649855638638416,0.4040057744544634,Average,0,Computer Engineering,0
3,4,0,1,8,0.4,0.5405864875109507,0.4237654049956197,Average,0,Computer Science,1
4,3,2,3,12,0.6,0.6444900735421957,0.5022039705831217,Average,0,Information Technology,2
0,2,1,4,7,0.35,0.9059271968848972,0.2476291212460411,Low,2,Multimedia Arts,3
2,1,1,5,9,0.45,0.310286533978114,0.5458853864087545,Average,0,Multimedia Arts,3
3,0,2,1,6,0.3,0.5172761027837848,0.3730895588864861,Low,2,Information Technology,2
3,1,3,0,7,0.35,0.9161122544424096,0.24355509822303614,Low,2,Information Technology,2
1,3,2,1,7,0.35,0.45604438669338904,0.42758224532264444,Low,2,Computer Science,1
3,3,2,2,10,0.5,0.7466937004720886,0.40132251981116457,Average,0,Computer Science,1
3,1,2,5,11,0.55,0.8015264161767865,0.4093894335292854,Average,0,Multimedia Arts,3
1,2,4,1,8,0.4,0.5499200273641373,0.42003198905434513,Average,0,Computer Engineering,0
0,2,2,3,7,0.35,0.7986201359125247,0.2905519456349901,Low,2,Multimedia Arts,3
1,3,2,0,6,0.3,0.9572590280812034,0.19709638876751862,Low,2,Computer Science,1
0,1,0,4,5,0.25,0.900812431510513,0.18967502739579478,Low,2,Multimedia Arts,3
1,2,1,4,8,0.4,0.32563443603901765,0.509746225584393,Average,0,Multimedia Arts,3
3,1,5,0,9,0.45,0.6417386788414434,0.4133045284634227,Average,0,Computer Engineering,0
2,3,3,2,10,0.5,0.9777392094351907,0.30890431622592374,Average,0,Computer Engineering,0
1,0,3,5,9,0.45,0.37153020762921546,0.5213879169483138,Average,0,Multimedia Arts,3
3,2,4,3,12,0.6,0.4850398201677152,0.5659840719329139,Average,0,Computer Engineering,0
0,0,2,5,7,0.35,0.3659144172359371,0.4636342331056251,Low,2,Multimedia Arts,3
3,3,2,0,8,0.4,0.48237290338064226,0.4470508386477431,Average,0,Computer Science,1
3,3,2,2,10,0.5,0.7561035298173333,0.39755858807306665,Average,0,Computer Science,1
3,0,2,3,8,0.4,0.920344506571739,0.27186219737130435,Average,0,Multimedia Arts,3
3,1,5,1,10,0.5,0.7192047717462442,0.4123180913015023,Average,0,Computer Engineering,0
0,0,3,3,6,0.3,0.41923215120289825,0.4123071395188407,Low,2,Computer Engineering,0
0,3,0,3,6,0.3,0.5818492738248096,0.34726029047007617,Low,2,Multimedia Arts,3
2,5,1,1,9,0.45,0.9497899264525169,0.29008402941899325,Average,0,Computer Science,1
1,3,2,1,7,0.35,0.8134755422340314,0.2846097831063874,Low,2,Computer Science,1
2,2,5,3,12,0.6,0.5419793662940682,0.5432082534823728,Average,0,Computer Engineering,0
3,4,2,1,10,0.5,0.42629501994768737,0.529481992020925,Average,0,Computer Science,1
3,4,3,2,12,0.6,0.7297445515470422,0.4681021793811831,Average,0,Computer Science,1
5,3,0,2,10,0.5,0.9253076100790043,0.3298769559683983,Average,0,Information Technology,2
1,3,1,3,8,0.4,0.5804904485000084,0.40780382059999665,Average,0,Multimedia Arts,3
2,0,4,2,8,0.4,0.6471655314669991,0.38113378741320036,Average,0,Computer Engineering,0
2,4,3,2,11,0.55,0.7756548881288015,0.4197380447484794,Average,0,Computer Science,1
5,0,1,0,6,0.3,0.5597133756097582,0.35611464975609675,Low,2,Information Technology,2
4,1,1,0,6,0.3,0.3587475257005814,0.4365009897197674,Low,2,Information Technology,2
3,3,4,2,12,0.6,0.3374117604835355,0.6250352958065858,Average,0,Computer Engineering,0
3,3,0,3,9,0.45,0.9773667546653395,0.2790532981338642,Average,0,Computer Science,1
1,5,3,2,11,0.55,0.4819135763775739,0.5372345694489704,Average,0,Computer Science,1
3,0,2,0,5,0.25,0.5364859271520195,0.33540562913919225,Low,2,Information Technology,2
2,2,4,0,8,0.4,0.8140716627314775,0.314371334907409,Average,0,Computer Engineering,0
0,0,5,3,8,0.4,0.6363135073794757,0.38547459704820974,Average,0,Computer Engineering,0
1,3,3,1,8,0.4,0.41652552806251153,0.4733897887749954,Average,0,Computer Engineering,0
5,2,2,0,9,0.45,0.9126149292772701,0.304954028289092,Average,0,Information Technology,2
0,0,3,1,4,0.2,0.33913894507150544,0.38434442197139784,Low,2,Computer Engineering,0
4,2,1,0,7,0.35,0.6252690000223418,0.35989239999106326,Low,2,Information Technology,2
4,3,0,2,9,0.45,0.4682571379732534,0.4826971448106987,Average,0,Information Technology,2
2,1,4,3,10,0.5,0.33638716387959866,0.5654451344481606,Average,0,Computer Engineering,0
1,0,3,1,5,0.25,0.4783929495697485,0.3586428201721006,Low,2,Computer Engineering,0
0,5,0,0,5,0.25,0.4250008172105847,0.3799996731157661,Low,2,Computer Science,1
1,4,1,1,7,0.35,0.7700999710687655,0.3019600115724938,Low,2,Computer Science,1
1,2,0,3,6,0.3,0.47827097997857987,0.38869160800856806,Low,2,Multimedia Arts,3
1,2,3,2,8,0.4,0.5507120014151599,0.4197151994339361,Average,0,Computer Engineering,0
2,3,3,0,8,0.4,0.5141740349543578,0.4343303860182569,Average,0,Computer Science,1
4,0,2,1,7,0.35,0.7063522905808739,0.3274590837676504,Low,2,Information Technology,2
4,2,1,2,9,0.45,0.5518471461210304,0.4492611415515879,Average,0,Information Technology,2
2,0,2,3,7,0.35,0.560696368099884,0.38572145276004643,Low,2,Multimedia Arts,3
2,2,4,1,9,0.45,0.5555454536549498,0.4477818185380201,Average,0,Computer Engineering,0
2,3,1,0,6,0.3,0.7109631624020831,0.29561473503916674,Low,2,Computer Science,1
2,1,4,1,8,0.4,0.9866693792059298,0.24533224831762807,Average,0,Computer Engineering,0
2,3,3,4,12,0.6,0.8198467585661526,0.4320612965735389,Average,0,Multimedia Arts,3
2,0,2,3,7,0.35,0.7592146284210319,0.30631414863158724,Low,2,Multimedia Arts,3
1,4,0,2,7,0.35,0.7073155982947681,0.32707376068209276,Low,2,Computer Science,1
2,4,0,0,6,0.3,0.9825179817610397,0.18699280729558412,Low,2,Computer Science,1
4,0,3,3,10,0.5,0.6834994849759802,0.4266002060096079,Average,0,Information Technology,2
1,3,3,5,12,0.6,0.7549305128889088,0.45802779484443645,Average,0,Multimedia Arts,3
2,2,0,3,7,0.35,0.524833969743211,0.40006641210271565,Low,2,Multimedia Arts,3
4,2,1,3,10,0.5,0.30263974595538995,0.578944101617844,Average,0,Information Technology,2
4,0,2,3,9,0.45,0.8583949567208773,0.3266420173116491,Average,0,Information Technology,2
1,0,5,0,6,0.3,0.4307316956831973,0.4077073217267211,Low,2,Computer Engineering,0
3,4,2,0,9,0.45,0.6786311882560477,0.3985475246975809,Average,0,Computer Science,1
4,3,1,2,10,0.5,0.9945587243928142,0.3021765102428743,Average,0,Information Technology,2
0,5,3,2,10,0.5,0.3483248512619324,0.5606700594952271,Average,0,Computer Science,1
1,1,3,2,7,0.35,0.46722524194992676,0.4231099032200293,Low,2,Computer Engineering,0
0,3,3,3,9,0.45,0.6171108236952342,0.4231556705219064,Average,0,Computer Science,1
1,5,2,3,11,0.55,0.8060738835088717,0.40757044659645136,Average,0,Computer Science,1
1,4,1,2,8,0.4,0.43143871349370194,0.4674245146025192,Average,0,Computer Science,1
5,3,3,2,13,0.65,0.6199194361102618,0.5420322255558954,Average,0,Information Technology,2
2,3,4,3,12,0.6,0.7851778598774867,0.44592885604900534,Average,0,Computer Engineering,0
1,0,3,4,8,0.4,0.374867771026971,0.4900528915892116,Average,0,Multimedia Arts,3
3,3,0,3,9,0.45,0.6686075143479355,0.4025569942608258,Average,0,Multimedia Arts,3
3,3,4,0,10,0.5,0.985988246810263,0.3056047012758948,Average,0,Computer Engineering,0
5,2,1,3,11,0.55,0.9585522157778648,0.34657911368885413,Average,0,Information Technology,2
0,2,3,2,7,0.35,0.7586793015001041,0.30652827939995836,Low,2,Computer Engineering,0
3,3,5,3,14,0.7,0.38656845978145327,0.6653726160874187,High,1,Computer Engineering,0
1,3,5,1,10,0.5,0.8942217301787079,0.34231130792851683,Average,0,Computer Engineering,0
5,3,3,3,14,0.7,0.994028287060627,0.4223886851757492,High,1,Information Technology,2
3,3,2,1,9,0.45,0.706509631157699,0.3873961475369204,Average,0,Information Technology,2
1,1,4,2,8,0.4,0.7161134789244216,0.35355460843023134,Average,0,Computer Engineering,0
3,0,0,1,4,0.2,0.8386126351449181,0.18455494594203276,Low,2,Information Technology,2
1,4,1,1,7,0.35,0.510198802012575,0.40592047919497,Low,2,Computer Science,1
3,2,2,3,10,0.5,0.9459068650525742,0.3216372539789703,Average,0,Multimedia Arts,3
2,3,3,3,11,0.55,0.46426704821489506,0.544293180714042,Average,0,Computer Engineering,0
1,0,3,4,8,0.4,0.5215974698165038,0.4313610120733985,Average,0,Multimedia Arts,3
0,5,2,1,8,0.4,0.441561255484308,0.4633754978062768,Average,0,Computer Science,1
1,2,2,4,9,0.45,0.7888686238673948,0.35445255045304214,Average,0,Multimedia Arts,3
3,1,0,1,5,0.25,0.9840600761538705,0.15637596953845181,Low,2,Information Technology,2
2,0,2,5,9,0.45,0.7321274689461268,0.3771490124215493,Average,0,Multimedia Arts,3
3,3,3,0,9,0.45,0.37497910490051345,0.5200083580397947,Average,0,Computer Science,1
5,1,0,0,6,0.3,0.9171802656176902,0.21312789375292393,Low,2,Information Technology,2
5,0,2,1,8,0.4,0.547451601588101,0.4210193593647596,Average,0,Information Technology,2
5,3,1,0,9,0.45,0.5137251834334453,0.46450992662662194,Average,0,Information Technology,2
5,1,1,2,9,0.45,0.8803351124414467,0.31786595502342135,Average,0,Information Technology,2
2,1,1,3,7,0.35,0.9432501423283377,0.23269994306866493,Low,2,Multimedia Arts,3
2,3,2,0,7,0.35,0.5599022120317083,0.3860391151873167,Low,2,Computer Science,1
4,0,2,1,7,0.35,0.9870798660223767,0.2151680535910493,Low,2,Information Technology,2
1,5,1,3,10,0.5,0.5338235908370269,0.48647056366518926,Average,0,Computer Science,1
5,2,2,2,11,0.55,0.7959155242912594,0.4116337902834962,Average,0,Information Technology,2
2,1,5,3,11,0.55,0.5163766688001485,0.5234493324799406,Average,0,Computer Engineering,0
2,3,2,2,9,0.45,0.4669403714720508,0.48322385141117974,Average,0,Computer Science,1
3,4,2,0,9,0.45,0.5574117788411916,0.44703528846352336,Average,0,Computer Science,1
1,2,4,3,10,0.5,0.3788494810251193,0.5484602075899523,Average,0,Computer Engineering,0
2,4,1,1,8,0.4,0.5229901027272676,0.43080395890909295,Average,0,Computer Science,1
2,3,2,0,7,0.35,0.8175166220137831,0.28299335119448676,Low,2,Computer Science,1
4,2,1,2,9,0.45,0.8844384506847025,0.31622461972611904,Average,0,Information Technology,2
2,4,1,0,7,0.35,0.7390051353830818,0.3143979458467673,Low,2,Computer Science,1
1,3,1,4,9,0.45,0.7543417920644796,0.3682632831742082,Average,0,Multimedia Arts,3
2,0,4,3,9,0.45,0.41486450675449704,0.5040541972982012,Average,0,Computer Engineering,0
2,5,3,2,12,0.6,0.6904505316925298,0.4838197873229881,Average,0,Computer Science,1
0,1,0,4,5,0.25,0.5932742202546336,0.31269031189814656,Low,2,Multimedia Arts,3
0,1,4,3,8,0.4,0.7198347395451904,0.35206610418192386,Average,0,Computer Engineering,0
3,2,3,3,11,0.55,0.8900775011600308,0.3739689995359877,Average,0,Information Technology,2
1,3,3,5,12,0.6,0.6896784663468105,0.4841286134612758,Average,0,Multimedia Arts,3
3,2,2,1,8,0.4,0.9825208736964013,0.24699165052143948,Average,0,Information Technology,2
1,0,3,4,8,0.4,0.7046632033190788,0.35813471867236846,Average,0,Multimedia Arts,3
0,4,3,0,7,0.35,0.7124338698107667,0.3250264520756933,Low,2,Computer Science,1
0,4,0,2,6,0.3,0.8524588378785678,0.23901646484857286,Low,2,Computer Science,1
0,0,4,3,7,0.35,0.8036171632981364,0.28855313468074545,Low,2,Computer Engineering,0
1,0,3,5,9,0.45,0.6918667607404982,0.39325329570380074,Average,0,Multimedia Arts,3
5,1,3,0,9,0.45,0.6683177837200254,0.40267288651198985,Average,0,Information Technology,2
5,0,2,2,9,0.45,0.6407910181191143,0.41368359275235433,Average,0,Information Technology,2
1,0,1,4,6,0.3,0.8608716736105886,0.23565133055576457,Low,2,Multimedia Arts,3
1,0,0,4,5,0.25,0.3191460068827766,0.42234159724688936,Low,2,Multimedia Arts,3
1,1,5,2,9,0.45,0.4248496836605383,0.5000601265357847,Average,0,Computer Engineering,0
3,1,3,2,9,0.45,0.6262459061519281,0.41950163753922876,Average,0,Computer Engineering,0
0,5,1,0,6,0.3,0.6925407473884424,0.302983701044623,Low,2,Computer Science,1
5,2,0,2,9,0.45,0.5938198729939241,0.43247205080243034,Average,0,Information Technology,2
3,1,1,5,10,0.5,0.7960176812756079,0.3815929274897568,Average,0,Multimedia Arts,3
0,3,2,4,9,0.45,0.7113575199611993,0.3854569920155203,Average,0,Multimedia Arts,3
1,3,2,4,10,0.5,0.9004564391861543,0.3398174243255383,Average,0,Multimedia Arts,3
3,5,0,1,9,0.45,0.4127264787998202,0.5049094084800719,Average,0,Computer Science,1
3,1,1,3,8,0.4,0.6226589285529123,0.3909364285788351,Average,0,Multimedia Arts,3
2,1,0,4,7,0.35,0.9742239744509755,0.2203104102196098,Low,2,Multimedia Arts,3
2,4,1,2,9,0.45,0.5370621138102744,0.4551751544758903,Average,0,Computer Science,1
4,2,2,0,8,0.4,0.8946194025971472,0.2821522389611411,Average,0,Information Technology,2
3,3,3,0,9,0.45,0.38821992378958087,0.5147120304841677,Average,0,Information Technology,2
3,2,2,3,10,0.5,0.7081155532887662,0.41675377868449354,Average,0,Multimedia Arts,3
1,1,4,2,8,0.4,0.8616917398940371,0.29532330404238516,Average,0,Computer Engineering,0
0,4,0,3,7,0.35,0.728425064106678,0.3186299743573288,Low,2,Computer Science,1
2,3,0,5,10,0.5,0.8117277362869539,0.37530890548521845,Average,0,Multimedia Arts,3
3,1,4,1,9,0.45,0.5409352265195007,0.45362590939219977,Average,0,Computer Engineering,0
2,0,3,1,6,0.3,0.9706199867920435,0.1917520052831826,Low,2,Computer Engineering,0
2,3,3,0,8,0.4,0.9259402410764157,0.2696239035694337,Average,0,Computer Engineering,0
2,1,1,4,8,0.4,0.326190986852582,0.5095236052589671,Average,0,Multimedia Arts,3
4,1,3,2,10,0.5,0.729516531205667,0.4081933875177332,Average,0,Information Technology,2
2,3,5,3,13,0.65,0.5392192606477696,0.5743122957408922,Average,0,Computer Engineering,0
5,3,2,0,10,0.5,0.48287705150124893,0.5068491793995005,Average,0,Information Technology,2
1,4,2,3,10,0.5,0.6566204138908383,0.43735183444366466,Average,0,Computer Science,1
4,3,1,2,10,0.5,0.6406564694447376,0.44373741222210494,Average,0,Information Technology,2
1,3,2,0,6,0.3,0.6602444668069947,0.31590221327720214,Low,2,Computer Science,1
1,0,3,1,5,0.25,0.9339954232747545,0.1764018306900982,Low,2,Computer Engineering,0
3,2,3,2,10,0.5,0.3839996904286019,0.5464001238285593,Average,0,Computer Engineering,0
2,0,0,5,7,0.35,0.51642488319226,0.403430046723096,Low,2,Multimedia Arts,3
4,1,2,1,8,0.4,0.8968322569955989,0.28126709720176046,Average,0,Information Technology,2
1,1,0,3,5,0.25,0.54077628149132,0.33368948740347204,Low,2,Multimedia Arts,3
0,1,5,2,8,0.4,0.4323064177535215,0.4670774328985914,Average,0,Computer Engineering,0
1,2,3,1,7,0.35,0.7808578232824306,0.29765687068702773,Low,2,Computer Engineering,0
3,1,2,1,7,0.35,0.3737018986071965,0.46051924055712146,Low,2,Information Technology,2
2,1,2,4,9,0.45,0.3186336971322162,0.5425465211471137,Average,0,Multimedia Arts,3
5,2,1,1,9,0.45,0.8537135151801398,0.3285145939279441,Average,0,Information Technology,2
3,0,1,5,9,0.45,0.49890893473376713,0.47043642610649317,Average,0,Multimedia Arts,3
1,4,3,2,10,0.5,0.4727437008317775,0.510902519667289,Average,0,Computer Science,1
0,2,3,3,8,0.4,0.4492114449040939,0.4603154220383624,Average,0,Multimedia Arts,3
3,3,1,3,10,0.5,0.6567633225695642,0.43729467097217434,Average,0,Multimedia Arts,3
2,0,3,3,8,0.4,0.3499247786718646,0.5000300885312541,Average,0,Multimedia Arts,3
0,0,4,2,6,0.3,0.587931291649348,0.3448274833402608,Low,2,Computer Engineering,0
0,2,2,5,9,0.45,0.34001420268355914,0.5339943189265763,Average,0,Multimedia Arts,3
0,0,4,2,6,0.3,0.5874272100384358,0.3450291159846257,Low,2,Computer Engineering,0
5,3,1,3,12,0.6,0.9372299901496497,0.3851080039401401,Average,0,Information Technology,2
3,2,5,3,13,0.65,0.6780872775315026,0.518765088987399,Average,0,Computer Engineering,0
1,1,3,3,8,0.4,0.3453626955870877,0.5018549217651649,Average,0,Multimedia Arts,3
3,0,2,2,7,0.35,0.5248375383805384,0.4000649846477846,Low,2,Information Technology,2
5,2,0,0,7,0.35,0.34743740413814694,0.4710250383447412,Low,2,Information Technology,2
0,3,0,2,5,0.25,0.7045191491626036,0.26819234033495853,Low,2,Computer Science,1
1,0,5,1,7,0.35,0.8855615596853506,0.25577537612585977,Low,2,Computer Engineering,0
1,3,2,4,10,0.5,0.8779604003374581,0.34881583986501674,Average,0,Multimedia Arts,3
2,0,3,3,8,0.4,0.6432243471532287,0.38271026113870854,Average,0,Computer Engineering,0
2,3,3,3,11,0.55,0.42050227547276753,0.561799089810893,Average,0,Computer Engineering,0
2,0,2,3,7,0.35,0.5074763338755472,0.4070094664497811,Low,2,Multimedia Arts,3
1,5,0,1,7,0.35,0.34660912902758667,0.47135634838896534,Low,2,Computer Science,1
4,2,1,3,10,0.5,0.6649640593321563,0.43401437626713746,Average,0,Information Technology,2
5,1,2,2,10,0.5,0.735787915995705,0.405684833601718,Average,0,Information Technology,2
1,1,5,0,7,0.35,0.517039466188642,0.40318421352454314,Low,2,Computer Engineering,0
0,0,3,5,8,0.4,0.7979904468812071,0.32080382124751716,Average,0,Multimedia Arts,3
2,3,0,1,6,0.3,0.3462463314274843,0.4415014674290063,Low,2,Computer Science,1
0,5,2,0,7,0.35,0.6977659466434241,0.33089362134263034,Low,2,Computer Science,1
3,1,3,1,8,0.4,0.8250911517897079,0.3099635392841168,Average,0,Computer Engineering,0
3,3,3,2,11,0.55,0.6750542928532186,0.45997828285871256,Average,0,Information Technology,2
3,2,3,0,8,0.4,0.4712323469600472,0.4515070612159811,Average,0,Information Technology,2
1,3,0,4,8,0.4,0.8967179114583177,0.2813128354166729,Average,0,Multimedia Arts,3
2,5,1,0,8,0.4,0.4472786460156697,0.46108854159373214,Average,0,Computer Science,1
0,3,3,1,7,0.35,0.4931701249647361,0.41273195001410556,Low,2,Computer Science,1
3,3,3,3,12,0.6,0.39158994293036,0.6033640228278561,Average,0,Computer Engineering,0
3,3,2,2,10,0.5,0.659168951399522,0.4363324194401912,Average,0,Computer Science,1
2,4,0,0,6,0.3,0.3227310529650933,0.4509075788139627,Low,2,Computer Science,1
0,2,3,2,7,0.35,0.34588818868488563,0.4716447245260458,Low,2,Computer Engineering,0
2,0,2,3,7,0.35,0.8012226005912861,0.2895109597634855,Low,2,Multimedia Arts,3
2,1,0,3,6,0.3,0.4474780555458222,0.4010087777816711,Low,2,Multimedia Arts,3
4,3,1,2,10,0.5,0.9629100608536205,0.31483597565855176,Average,0,Information Technology,2
0,1,5,1,7,0.35,0.69654617514217,0.33138152994313197,Low,2,Computer Engineering,0
3,0,2,0,5,0.25,0.806635649786493,0.2273457400854028,Low,2,Information Technology,2
1,1,5,3,10,0.5,0.8533946146673121,0.35864215413307515,Average,0,Computer Engineering,0
4,1,3,1,9,0.45,0.5158070594452757,0.46367717622188975,Average,0,Information Technology,2
0,0,3,5,8,0.4,0.5355986375920312,0.4257605449631875,Average,0,Multimedia Arts,3
3,1,0,5,9,0.45,0.9529602077211146,0.28881591691155417,Average,0,Multimedia Arts,3
2,3,3,2,10,0.5,0.5546290190542931,0.47814839237828277,Average,0,Computer Science,1
0,5,3,2,10,0.5,0.3093268908519352,0.5762692436592259,Average,0,Computer Science,1
0,0,1,5,6,0.3,0.8457445832153434,0.24170216671386263,Low,2,Multimedia Arts,3
5,2,0,0,7,0.35,0.45529822818823745,0.42788070872470507,Low,2,Information Technology,2
4,0,2,3,9,0.45,0.5024977547754219,0.46900089808983125,Average,0,Information Technology,2
0,2,1,3,6,0.3,0.6348227377985525,0.326070904880579,Low,2,Multimedia Arts,3
4,3,1,1,9,0.45,0.9113543815011382,0.30545824739954475,Average,0,Information Technology,2
2,5,0,2,9,0.45,0.7067547461848054,0.38729810152607785,Average,0,Computer Science,1
5,3,1,3,12,0.6,0.5656182034760002,0.5337527186095999,Average,0,Information Technology,2
0,3,3,1,7,0.35,0.44837445459472675,0.43065021816210924,Low,2,Computer Science,1
1,3,0,0,4,0.2,0.4021402404474311,0.35914390382102757,Low,2,Computer Science,1
1,0,1,4,6,0.3,0.58291458781881,0.346834164872476,Low,2,Multimedia Arts,3
5,0,1,1,7,0.35,0.33109066866081766,0.47756373253567297,Low,2,Information Technology,2
2,2,5,3,12,0.6,0.9792830795654754,0.3682867681738098,Average,0,Computer Engineering,0
1,0,2,5,8,0.4,0.8310440491028528,0.3075823803588589,Average,0,Multimedia Arts,3
5,1,2,1,9,0.45,0.8169720864582215,0.34321116541671143,Average,0,Information Technology,2
0,1,4,0,5,0.25,0.3047465501166396,0.4281013799533442,Low,2,Computer Engineering,0
5,1,1,3,10,0.5,0.5679160665655814,0.47283357337376747,Average,0,Information Technology,2
2,2,5,3,12,0.6,0.7466778868109831,0.46132884527560675,Average,0,Computer Engineering,0
0,4,3,0,7,0.35,0.4459037585668696,0.43163849657325215,Low,2,Computer Science,1
